,left_knee_flexion_mean,left_knee_flexion_min,left_knee_flexion_max,right_knee_flexion_mean,right_knee_flexion_min,right_knee_flexion_max,left_hip_abduction_mean,left_hip_abduction_min,left_hip_abduction_max,right_hip_abduction_mean,right_hip_abduction_min,right_hip_abduction_max,left_elbow_flexion_mean,left_elbow_flexion_min,left_elbow_flexion_max,right_elbow_flexion_mean,right_elbow_flexion_min,right_elbow_flexion_max,left_arm_abduction_mean,left_arm_abduction_min,left_arm_abduction_max,right_arm_abduction_mean,right_arm_abduction_min,right_arm_abduction_max,spine_arc_mean,spine_arc_min,spine_arc_max,left_knee_varus_mean,left_knee_varus_min,left_knee_varus_max,right_knee_varus_mean,right_knee_varus_min,right_knee_varus_max,pelvis_flexion_mean,pelvis_flexion_min,pelvis_flexion_max,head_angle_new_mean,head_angle_new_min,head_angle_new_max,shoulder_angle_new_mean,shoulder_angle_new_min,shoulder_angle_new_max
95,70.733478871817,65.57687085241355,74.70309082688989,68.98818782281334,64.04660312304136,71.82298475139079,12.577184000476,11.903189041527565,13.460586837844875,11.5478692650357,10.943903920317638,12.47157342031387,141.09586904624763,139.61337298363387,143.4858152630086,145.8070938161238,143.98686798897816,147.26412976133994,39.558678025408824,34.19379447947924,43.599027830958896,43.928608293250456,38.209398265747474,47.20181405489941,165.66873243468098,165.11540624493358,166.7383386639376,30.747208901079254,25.9014737610284,39.06427963759123,24.554339880458514,17.300369717376935,31.84470762656407,5.986565814766449,5.503528136936442,6.240485611091715,0.9823434823229622,0.5354226568270564,1.3540241191236717,0.7575269626857262,0.5367691383810809,1.028276407889078
96,72.70179195463959,66.82932610536123,77.14803041755187,70.73462155076908,65.13249507348303,73.7713534026155,12.706902366544275,11.92232175607342,13.653627488596172,11.688156937999686,10.99614758521827,12.68063592133436,141.02358706585002,139.64521151099066,143.15059746217563,145.84078346091655,144.1166302432551,147.15320575565758,40.36531183783662,34.466056401596255,44.72927501129932,44.51740598060127,38.67882400171928,48.02614699141161,165.5362165464004,164.88967619478103,166.7819260878901,28.89375996977281,23.724630109388073,37.58851424157487,22.480968451369463,14.872172895531243,30.65971223240814,6.033548310119267,5.475689435937104,6.321236070560321,0.9196295708826209,0.46935943824584725,1.316731841920154,0.7265259054959403,0.4840242144608248,1.0503146317287981
97,73.91586144146397,67.28444718048075,78.701818726937,71.69571237194988,65.31303977795716,75.06165884136273,12.860190154179573,11.985693372872852,13.849708900586162,11.842871491929014,11.05582273927612,12.875459641812569,140.99568612060278,139.80610637637233,142.75650910739287,146.13283931460688,144.61106637331025,147.32173360401657,40.88100706706581,34.56442966134945,45.54839803384413,44.79313567219427,39.017465706357754,48.408976094577255,165.38596902110578,164.64954907982516,166.7944593868287,27.70302541804302,22.032745625773927,36.79761742490267,21.081846202362314,13.294269887590884,30.372891297201207,6.091813593055879,5.465805600793271,6.411604758465612,0.9564774704076464,0.3699094874002117,1.395044884040216,0.7091979340933223,0.4506891682193963,1.0936756801328404
98,74.53963762851515,67.08014969381196,79.54727481075858,72.10991853211377,64.78815096706512,76.04432787217263,13.014335322710732,12.07143694232165,14.039106315398481,11.9909315158353,11.133821865528425,13.049578792466534,141.0272210202491,139.92994062730762,142.51178519937145,146.52594374060533,145.2360579251768,147.59151255071635,41.17910563979315,34.607758831824874,46.018165820262595,44.890231690123095,39.29623570029078,48.51948819979323,165.17934265636427,164.38667146902904,166.69911193630062,27.054514060216533,20.778938096398818,36.62696997266071,20.164519634449427,12.292004657106686,30.688543826521364,6.178401865698368,5.505595805572433,6.524355878075793,1.1403140127315785,0.2974793603119115,1.697769638161776,0.6839599408836428,0.41754389795695557,1.1226703175621067
99,74.77992340802149,66.64029785619438,79.84535013639618,72.2576528603509,64.07667795419758,76.73105871850282,13.14339967117954,12.14814583976549,14.17067129839771,12.10799585318537,11.200905325098157,13.159648815901049,141.1235647387939,140.13261062116993,142.50821098561448,146.9928625712771,145.86090631295505,147.9700758171226,41.29174496744011,34.503693151679144,46.28995784383302,44.81739982644609,39.4622484854514,48.399122623889355,164.9477772872571,164.1236062857875,166.51755621611562,26.772195505120077,20.06047019139768,36.578689757582595,19.650007083930003,11.858807418098941,31.255826256409726,6.279762768053439,5.585186652221132,6.644491054217206,1.447784185043772,0.19076164806225956,2.2477003072254087,0.6393164106875702,0.33829418986384496,1.1505215610758095
100,74.77476744516846,66.1751454887432,79.77116058556722,72.22931181761801,63.356398866004156,77.18928718627498,13.246349956909999,12.211560459447021,14.261497774798583,12.194105500622271,11.255403205407532,13.220972209425799,141.2422083973513,140.2576292240542,142.72915173356597,147.38248603374433,146.29667308883214,148.35240146067716,41.28558243162129,34.395459128643516,46.34181315300787,44.7055556303255,39.61206962019496,48.16962131806592,164.70043550978102,163.84200948163982,166.290918874716,26.691155811594086,19.73835434759377,36.55826423089401,19.429372169014833,11.74831293973208,31.80405875253622,6.391969067777493,5.68758979779253,6.772573590626756,2.0022937361318167,0.2346624794220457,3.2108344390811463,0.573279484685704,0.2103008578274784,1.1473443135955235
101,74.63068828109081,65.81378938970977,79.49134818082526,72.08649986905627,62.7664283838766,77.43026071684798,13.312208546755524,12.251608463007383,14.306151255181412,12.244492816481467,11.290876318037775,13.240802543011274,141.46809932719992,140.37206673682078,143.2643228936417,147.7200512930444,146.62507504073787,148.7148370610674,41.14086654174347,34.23288882478964,46.1577205187989,44.592674894306214,39.687981451891226,47.91425831325213,164.43384500918995,163.53939515959223,166.02726013276364,26.62126269922364,19.547198229389373,36.43494685029064,19.333147333250576,11.780776616245433,32.06208615900826,6.515394350761611,5.808168236793858,6.91766344194925,2.5268183236086683,0.27150271237646617,4.1274341198475,0.5227646115068757,0.13973981557703247,1.1169055737517404
102,74.69266204455668,65.80828693007152,79.40813891750221,72.22672836882694,62.66026458540676,77.88665647419208,13.331233332218574,12.26481642992436,14.306071997750518,12.252759262959106,11.301874040111631,13.220230165687298,141.70558759732052,140.42021681136868,143.99434699447028,147.88531470922328,146.69939678115432,148.92515969321977,41.11194928158643,34.22055781027631,46.04772371862113,44.63483471380678,39.86913137637512,47.7869985254445,164.18421097806663,163.25005878110562,165.77500893652947,26.344930584755943,19.21793339906747,36.0188043452257,19.059057571969745,11.809371712048037,31.7517907187007,6.632038531976962,5.9240161838018945,7.0571872627503005,2.9890461370282515,0.3424456495483135,4.971775858804633,0.4625261279425139,0.0500116007683334,1.0718722878805087
103,74.87735132122033,66.12073860354562,79.45004138014096,72.48764578861964,62.914657688155316,78.26330678502512,13.315160996408665,12.24633817718181,14.267025942556703,12.232011116995176,11.28654986953477,13.16536407304972,141.98207634822734,140.57104114370392,144.65895292260586,147.98659356676572,146.7359329183519,149.10061151036393,41.160104994906405,34.302155605387554,46.011114143866266,44.76236907695994,40.11926323421816,47.699042498380614,163.98978791966584,163.00721761775446,165.5891118749201,25.979861659255178,18.815361605639616,35.47315582559767,18.70711205672659,11.870918288953611,31.046847306451873,6.724559461350205,6.012046705171179,7.171323991445096,3.3269666185590614,0.4206435952962757,5.6314667871325454,0.40201914576464715,-0.04445893512176352,1.0225842828248044
104,75.06689454086516,66.39633545111492,79.55733424529338,72.71464311628135,63.13912535161016,78.48953560970918,13.281396238619678,12.21966377549423,14.224840426200853,12.198873855863674,11.26453805039842,13.112256104451642,142.3143222663853,140.8141837587978,145.19276670337908,148.03643852077525,146.8360080783655,149.25644363772037,41.23732782142983,34.55158628616502,45.92146020068766,44.95286454987209,40.45106905095909,47.65849465512234,163.80819314174704,162.775623707953,165.44725518582743,25.60973033658785,18.347276936248683,35.12645034155237,18.34775336535673,11.809426006105774,30.34497749168328,6.81037442246652,6.081785600575056,7.2780463656919085,3.5570752729035737,0.5070805137039425,6.103866079864643,0.3553186556570118,-0.08689559963655735,0.9619479674087095
